time;ax;ay;az;I;Gain;Latitude;Longitude;Speed
0,453024;-0,085;0,1014;0,0527;28532,5918;61,1873;50,26523786;10,9535381;0,0
0,520955;-0,1561;0,0958;0,0471;28532,5918;61,1873;50,26523783;10,95353808;0,0
2,527947;-0,2274;0,1521;-3,0449;15624,5947;69,8612;50,26524663;10,95354338;0,81
3,526637;0,2856;-1,9701;2,9515;18810,5078;67,3059;50,2652642;10,95354302;1,44000006
4,527579;0,4976;0,4255;2,9363;18811,5977;69,6409;50,26527654;10,95354926;1,26999998
5,537478;0,4693;0,7004;4,6435;17774,7422;72,396;50,26528876;10,95355164;1,26999998
6,554667;0,2796;0,4644;-3,7388;16258,502;72,8396;50,26530252;10,95354581;1,35000002
7,54062;-0,0849;-0,1455;-2,7064;16395,0;74,8757;50,26531735;10,95353845;1,5
8,555033;-0,6617;-0,4327;0,1039;18898,4121;74,9802;50,26533115;10,95352937;1,5
9,542322;-0,2046;-0,9644;1,3303;18538,0527;71,0833;50,26534354;10,95351925;1,41999996
10,53542;-0,0242;2,1253;3,4533;17110,2617;68,9665;50,26535703;10,95351265;1,58000004
11,544488;0,259;1,3296;1,6787;16890,7695;68,271;50,26537144;10,9535046;1,64999998
12,53434;-1,3886;0,0659;-3,7559;17999,6973;72,2656;50,26538582;10,95349483;1,52999997
13,555573;0,5809;-0,9724;-2,3939;17923,8008;72,7898;50,26540131;10,95348223;1,54999995
14,529721;0,6916;-1,3351;2,2008;16428,3066;72,5459;50,26541498;10,95347045;1,5
15,550277;-0,0131;-0,764;2,8768;17858,2812;68,7481;50,26542712;10,95346668;1,40999997
16,533099;-0,8448;0,2411;-0,7603;19140,8359;69,4613;50,26543885;10,95346208;1,39999998
17,547794;0,2965;-0,6044;-2,5368;19519,7617;70,9644;50,26544913;10,95345479;1,40999997
18,541422;-1,4714;-0,8139;-1,7769;20926,8047;71,6612;50,26546043;10,95344837;1,40999997
19,554711;0,0672;1,1914;3,9579;18081,0488;68,2327;50,26546939;10,95343922;1,41999996
20,540968;-0,2651;1,6856;0,5937;18422,3008;71,6093;50,26547893;10,95342589;1,38999999
21,551861;-0,7957;0,5068;-3,6706;19603,8457;68,984;50,26548852;10,95341264;1,36000001
